Species,T_growth,Jmax25,EaJ,dS.x,Jmax_se,EaJ_se,dS_se.x,Vcmax25,EaV,dS.y,Vcmax25_se,EaV_se,dS_se.y,DataType,Woody_Type,ratio_jv,Species_T
Cedrela odorata,20,26.85099963,40.31599523,0.641317275,2.898929017,19.78088791,0.005764989,12.749539,39.11318234,0.635800452,1.896181957,22.65003349,0.007567795,obs,Woody,2.106036903,Cedrela odorata_20
Cedrela odorata,20,431.2061132,,,,,,226.5416112,,,,,,pmodel,Woody,1.903430063,Cedrela odorata_20
Cedrela odorata,30,48.37778402,59.09989422,0.639176773,5.515721685,20.63947158,0.005313894,27.93404598,85.66268546,0.641266273,4.864955409,32.71330391,0.007476439,obs,Woody,1.731857392,Cedrela odorata_30
Cedrela odorata,30,205.2623012,,,,,,134.4163967,,,,,,pmodel,Woody,1.527062964,Cedrela odorata_30
Cedrela odorata,35,21.100853,130.4440274,0.653634574,8.293588488,58.04171494,0.016340343,26.46914638,30.55885179,0.628099626,24.89525336,83.13908096,0.021411069,obs,Woody,0.797186758,Cedrela odorata_35
Cedrela odorata,35,127.065645,,,,,,97.41902878,,,,,,pmodel,Woody,1.304320589,Cedrela odorata_35
Elymus canadensis,20,59.33011436,26.73192358,0.639473228,4.337699072,9.062998736,0.004520132,33.5427447,62.20495368,0.640028943,3.36417396,15.11752006,0.004788329,obs,Non-woody,1.768791281,Elymus canadensis_20
Elymus canadensis,20,431.2061132,,,,,,226.5416112,,,,,,pmodel,Non-woody,1.903430063,Elymus canadensis_20
Elymus canadensis,30,40.81743973,43.18914927,0.639944171,6.715439005,28.55123592,0.008653919,21.7475824,60.13980394,0.639807576,3.440560961,27.30493784,0.007428657,obs,Non-woody,1.876872518,Elymus canadensis_30
Elymus canadensis,30,205.2623012,,,,,,134.4163967,,,,,,pmodel,Non-woody,1.527062964,Elymus canadensis_30
Pinus nigra,20,59.33654255,27.7586189,0.635441177,11.13099952,25.64210209,0.011786126,38.213026,43.13728592,0.635382693,8.921951182,32.57378114,0.012973582,obs,Woody,1.552783141,Pinus nigra_20
Pinus nigra,20,431.2061132,,,,,,226.5416112,,,,,,pmodel,Woody,1.903430063,Pinus nigra_20
Pinus nigra,30,46.06225289,15.86607713,0.634859838,6.614370949,18.40862528,0.00834996,27.97416253,29.79742924,0.632385158,4.577548389,21.59654423,0.008687561,obs,Woody,1.646599888,Pinus nigra_30
Pinus nigra,30,205.2623012,,,,,,134.4163967,,,,,,pmodel,Woody,1.527062964,Pinus nigra_30
Pinus pinaster,20,32.78462397,16.87969851,0.627339661,3.516434371,12.56224781,0.012905838,18.60210485,36.77447712,0.630578102,3.091722617,21.17082498,0.013628814,obs,Woody,1.76241475,Pinus pinaster_20
Pinus pinaster,20,431.2061132,,,,,,226.5416112,,,,,,pmodel,Woody,1.903430063,Pinus pinaster_20
Pinus pinaster,25,49.34511439,29.32757002,0.633431358,3.486322735,10.22868493,0.004888615,30.34292623,47.97948169,0.633101986,2.363977457,11.8693986,0.004904368,obs,Woody,1.626247713,Pinus pinaster_25
Pinus pinaster,25,305.4189153,,,,,,176.0073904,,,,,,pmodel,Woody,1.735261881,Pinus pinaster_25
Pinus pinaster,35,57.67144975,34.07914591,0.632101026,11.81131622,22.90484111,0.007554611,39.7903272,73.41986948,0.640388002,13.6536317,49.36491646,0.010437194,obs,Woody,1.449383652,Pinus pinaster_35
Pinus pinaster,35,127.065645,,,,,,97.41902878,,,,,,pmodel,Woody,1.304320589,Pinus pinaster_35
Pinus pinea,20,42.41054185,16.29674892,0.634072232,4.331084635,13.34509239,0.007034439,22.80612585,34.48993807,0.635445235,2.465670142,15.19799601,0.006402868,obs,Woody,1.859611849,Pinus pinea_20
Pinus pinea,20,431.2061132,,,,,,226.5416112,,,,,,pmodel,Woody,1.903430063,Pinus pinea_20
Pinus pinea,25,62.35703129,23.43221998,0.632908897,3.982291186,8.151642074,0.004051153,31.68003159,28.29572751,0.615521118,2.844885574,7.32962683,0.008409742,obs,Woody,1.968338671,Pinus pinea_25
Pinus pinea,25,305.4189153,,,,,,176.0073904,,,,,,pmodel,Woody,1.735261881,Pinus pinea_25
Pinus pinea,30,35.56865581,29.30008569,0.631184836,5.100741053,18.2345103,0.008416344,23.96735076,46.60935231,0.631877471,4.974558188,27.43091677,0.010238785,obs,Woody,1.4840462,Pinus pinea_30
Pinus pinea,30,205.2623012,,,,,,134.4163967,,,,,,pmodel,Woody,1.527062964,Pinus pinea_30
Pinus pinea,35,63.06187529,39.03472027,0.631395278,8.17099281,14.71006936,0.005494403,39.96751064,49.62935714,0.625550849,9.953878393,23.63728013,0.009894851,obs,Woody,1.577828448,Pinus pinea_35
Pinus pinea,35,127.065645,,,,,,97.41902878,,,,,,pmodel,Woody,1.304320589,Pinus pinea_35
Pinus sylvestris,15,67.46835784,24.91611481,0.638613992,7.393572682,12.98242364,0.006095115,36.7101728,36.18567595,0.636878032,4.10135908,13.99901265,0.005940294,obs,Woody,1.837865439,Pinus sylvestris_15
Pinus sylvestris,15,583.2808581,,,,,,290.6027166,,,,,,pmodel,Woody,2.007141795,Pinus sylvestris_15
Pinus sylvestris,20,51.95338947,41.90370255,0.644297314,8.303808514,30.47640726,0.009986804,33.46881427,59.50449137,0.643907874,4.811604633,27.96986858,0.007978971,obs,Woody,1.552292503,Pinus sylvestris_20
Pinus sylvestris,20,431.2061132,,,,,,226.5416112,,,,,,pmodel,Woody,1.903430063,Pinus sylvestris_20
Pinus sylvestris,25,74.90619983,47.55371358,0.643269535,8.261432995,28.47359519,0.007882752,47.57296649,143.9229191,0.661276363,11.09217827,52.42525394,0.013877811,obs,Woody,1.574553898,Pinus sylvestris_25
Pinus sylvestris,25,305.4189153,,,,,,176.0073904,,,,,,pmodel,Woody,1.735261881,Pinus sylvestris_25
Pinus sylvestris,35,51.51158779,23.92805997,0.63336529,2.414381987,6.637882435,0.002413145,24.78954907,47.8667316,0.631540558,1.480590756,7.074501293,0.002306293,obs,Woody,2.077955821,Pinus sylvestris_35
Pinus sylvestris,35,127.065645,,,,,,97.41902878,,,,,,pmodel,Woody,1.304320589,Pinus sylvestris_35
Quercus virginiana,20,124.1151929,28.13567277,0.630556485,10.51821068,10.0226927,0.005204029,71.90521567,50.57164618,0.632601244,6.900294823,11.88077117,0.004565811,obs,Woody,1.726094439,Quercus virginiana_20
Quercus virginiana,20,431.2061132,,,,,,226.5416112,,,,,,pmodel,Woody,1.903430063,Quercus virginiana_20
Quercus virginiana,35,85.74769192,25.29298076,0.620440933,12.2675841,13.89738071,0.011308917,52.63667585,58.05103806,0.622242247,10.31625828,17.26267303,0.008989568,obs,Woody,1.629048388,Quercus virginiana_35
Quercus virginiana,35,127.065645,,,,,,97.41902878,,,,,,pmodel,Woody,1.304320589,Quercus virginiana_35
Tamarindus indica,20,47.80055774,10.44652284,0.627140273,5.768993323,18.71499911,0.010466024,19.77980571,52.07085955,0.635899727,1.14844481,8.64655096,0.002934968,obs,Woody,2.416634341,Tamarindus indica_20
Tamarindus indica,20,431.2061132,,,,,,226.5416112,,,,,,pmodel,Woody,1.903430063,Tamarindus indica_20
Tamarindus indica,30,75.05221058,175.4435499,0.66862242,8.776803676,15.93800572,0.005554307,39.29952468,76.57302983,0.637219413,7.651535303,30.01180395,0.007702387,obs,Woody,1.909748558,Tamarindus indica_30
Tamarindus indica,30,205.2623012,,,,,,134.4163967,,,,,,pmodel,Woody,1.527062964,Tamarindus indica_30
Ulmus americana,15,46.94076944,49.06777412,0.644563361,5.585615396,27.26440896,0.017149171,15.86496242,66.46322033,0.642002407,3.454794881,56.48487597,0.04311556,obs,Woody,2.958769658,Ulmus americana_15
Ulmus americana,15,583.2808581,,,,,,290.6027166,,,,,,pmodel,Woody,2.007141795,Ulmus americana_15
Ulmus americana,20,39.42915152,23.96608259,0.639609444,2.109208114,6.314676178,0.003020467,17.64860674,30.19062124,0.635658543,1.480915355,9.893380138,0.004603362,obs,Woody,2.234122619,Ulmus americana_20
Ulmus americana,20,431.2061132,,,,,,226.5416112,,,,,,pmodel,Woody,1.903430063,Ulmus americana_20
Ulmus americana,35,50.26404909,45.44491372,0.633499421,6.502496865,15.49786244,0.005582888,32.60993973,111.8325301,0.64689037,7.065947929,57.44967374,0.013569864,obs,Woody,1.541372033,Ulmus americana_35
Ulmus americana,35,127.065645,,,,,,97.41902878,,,,,,pmodel,Woody,1.304320589,Ulmus americana_35